date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:07	4210/4210	---M--	200	added ('OK')	image/png	etag:%221072-615f83fa34000%22	https://bit2sky.com/assets/images/icons/stack-icon1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/stack-icon1.png	(from https://bit2sky.com/services)
17:36:08	323721/323721	---M--	200	added ('OK')	image/png	etag:%224f089-61df90e586440%22	https://bit2sky.com/assets/images/other/about-img-2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/about-img-2.png	(from https://bit2sky.com/services)
17:36:08	5799/5799	---M--	200	added ('OK')	image/png	etag:%2216a7-615f83fa34000%22	https://bit2sky.com/assets/images/icons/stack-icon2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/stack-icon2.png	(from https://bit2sky.com/services)
17:36:08	5379/5379	---M--	200	added ('OK')	image/png	etag:%221503-615f83fa34000%22	https://bit2sky.com/assets/images/icons/stack-icon3.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/stack-icon3.png	(from https://bit2sky.com/services)
17:36:09	8005/8005	---M--	200	added ('OK')	image/png	etag:%221f45-615f83fa34000%22	https://bit2sky.com/assets/images/icons/stack-icon4.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/stack-icon4.png	(from https://bit2sky.com/services)
17:36:10	6080/6080	---M--	200	added ('OK')	image/png	etag:%2217c0-615f83fa34000%22	https://bit2sky.com/assets/images/icons/stack-icon5.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/stack-icon5.png	(from https://bit2sky.com/services)
17:36:11	7263/7263	---M--	200	added ('OK')	image/png	etag:%221c5f-615f83fa34000%22	https://bit2sky.com/assets/images/icons/stack-icon6.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/stack-icon6.png	(from https://bit2sky.com/services)
17:36:13	288910/288910	---M--	200	added ('OK')	image/png	etag:%224688e-61df90e586440%22	https://bit2sky.com/assets/images/other/leadership-img-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/leadership-img-1.png	(from https://bit2sky.com/services)
17:36:13	315798/315798	---M--	200	added ('OK')	image/png	etag:%224d196-61df90e586440%22	https://bit2sky.com/assets/images/other/leadership-img-2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/leadership-img-2.png	(from https://bit2sky.com/services)
17:36:13	415490/415490	---M--	200	added ('OK')	image/png	etag:%2265702-61df90e586440%22	https://bit2sky.com/assets/images/other/leadership-img-3.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/leadership-img-3.png	(from https://bit2sky.com/services)
